layer,geoid,topic,stratification,period,value,type
State,WI,FVDEWVAR,,2023-2024,84488,Statewide-Removal
State,WI,FVDEWVAR,A,2023-2024,793,Statewide-Removal
State,WI,FVDEWVAR,B,2023-2024,34766,Statewide-Removal
State,WI,FVDEWVAR,ECO1,2023-2024,66610,Statewide-Removal
State,WI,FVDEWVAR,EL1,2023-2024,4915,Statewide-Removal
State,WI,FVDEWVAR,ENG3,2023-2024,79169,Statewide-Removal
State,WI,FVDEWVAR,FEM3,2023-2024,28451,Statewide-Removal
State,WI,FVDEWVAR,H,2023-2024,13642,Statewide-Removal
State,WI,FVDEWVAR,K41,2023-2024,376,Statewide-Removal
State,WI,FVDEWVAR,KIN2,2023-2024,2178,Statewide-Removal
State,WI,FVDEWVAR,MAL15,2023-2024,55625,Statewide-Removal
State,WI,FVDEWVAR,MIG1,2023-2024,21,Statewide-Removal
State,WI,FVDEWVAR,NON10,2023-2024,23,Statewide-Removal
State,WI,FVDEWVAR,NOT3,2023-2024,17486,Statewide-Removal
State,WI,FVDEWVAR,NOT4,2023-2024,84083,Statewide-Removal
State,WI,FVDEWVAR,P,2023-2024,1270,Statewide-Removal
State,WI,FVDEWVAR,P1,2023-2024,59,Statewide-Removal
State,WI,FVDEWVAR,PK1,2023-2024,2,Statewide-Removal
State,WI,FVDEWVAR,Q,2023-2024,7386,Statewide-Removal
State,WI,FVDEWVAR,SWD1,2023-2024,29447,Statewide-Removal
State,WI,FVDEWVAR,SWO1,2023-2024,55041,Statewide-Removal
State,WI,FVDEWVAR,UNK3,2023-2024,392,Statewide-Removal
State,WI,FVDEWVAR,UNK4,2023-2024,404,Statewide-Removal
State,WI,FVDEWVAR,UNK5,2023-2024,393,Statewide-Removal
State,WI,FVDEWVAR,UNK7,2023-2024,389,Statewide-Removal
State,WI,FVDEWVAR,UNK8,2023-2024,384,Statewide-Removal
State,WI,FVDEWVAR,UNK9,2023-2024,384,Statewide-Removal
State,WI,FVDEWVAR,W,2023-2024,26179,Statewide-Removal
State,WI,FVDEWVAR,X1012,2023-2024,9548,Statewide-Removal
State,WI,FVDEWVAR,X113,2023-2024,6135,Statewide-Removal
State,WI,FVDEWVAR,X1210,2023-2024,2940,Statewide-Removal
State,WI,FVDEWVAR,X1S2,2023-2024,2631,Statewide-Removal
State,WI,FVDEWVAR,X2N2,2023-2024,2946,Statewide-Removal
State,WI,FVDEWVAR,X3R2,2023-2024,2942,Statewide-Removal
State,WI,FVDEWVAR,X4T2,2023-2024,3388,Statewide-Removal
State,WI,FVDEWVAR,X5T3,2023-2024,4357,Statewide-Removal
State,WI,FVDEWVAR,X6T3,2023-2024,9686,Statewide-Removal
State,WI,FVDEWVAR,X7T2,2023-2024,11405,Statewide-Removal
State,WI,FVDEWVAR,X8T2,2023-2024,12053,Statewide-Removal
State,WI,FVDEWVAR,X9T3,2023-2024,13517,Statewide-Removal
Region,fox-valley,FVDEWVAR,,2023-2024,4164,Tricounty-Removal
Region,fox-valley,FVDEWVAR,A,2023-2024,54,Tricounty-Removal
Region,fox-valley,FVDEWVAR,B,2023-2024,530,Tricounty-Removal
Region,fox-valley,FVDEWVAR,ECO1,2023-2024,3038,Tricounty-Removal
Region,fox-valley,FVDEWVAR,EL1,2023-2024,185,Tricounty-Removal
Region,fox-valley,FVDEWVAR,ENG3,2023-2024,3551,Tricounty-Removal
Region,fox-valley,FVDEWVAR,FEM3,2023-2024,1203,Tricounty-Removal
Region,fox-valley,FVDEWVAR,H,2023-2024,496,Tricounty-Removal
Region,fox-valley,FVDEWVAR,K41,2023-2024,8,Tricounty-Removal
Region,fox-valley,FVDEWVAR,KIN2,2023-2024,160,Tricounty-Removal
Region,fox-valley,FVDEWVAR,MAL15,2023-2024,2770,Tricounty-Removal
Region,fox-valley,FVDEWVAR,NOT3,2023-2024,1125,Tricounty-Removal
Region,fox-valley,FVDEWVAR,NOT4,2023-2024,4164,Tricounty-Removal
Region,fox-valley,FVDEWVAR,P,2023-2024,29,Tricounty-Removal
Region,fox-valley,FVDEWVAR,Q,2023-2024,560,Tricounty-Removal
Region,fox-valley,FVDEWVAR,SWD1,2023-2024,1864,Tricounty-Removal
Region,fox-valley,FVDEWVAR,SWO1,2023-2024,2290,Tricounty-Removal
Region,fox-valley,FVDEWVAR,UNK3,2023-2024,1,Tricounty-Removal
Region,fox-valley,FVDEWVAR,UNK4,2023-2024,428,Tricounty-Removal
Region,fox-valley,FVDEWVAR,UNK5,2023-2024,193,Tricounty-Removal
Region,fox-valley,FVDEWVAR,UNK6,2023-2024,10,Tricounty-Removal
Region,fox-valley,FVDEWVAR,UNK7,2023-2024,191,Tricounty-Removal
Region,fox-valley,FVDEWVAR,UNK8,2023-2024,12,Tricounty-Removal
Region,fox-valley,FVDEWVAR,W,2023-2024,2302,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X1012,2023-2024,437,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X113,2023-2024,312,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X1210,2023-2024,168,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X1S2,2023-2024,212,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X2N2,2023-2024,174,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X3R2,2023-2024,166,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X4T2,2023-2024,192,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X5T3,2023-2024,255,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X6T3,2023-2024,408,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X7T2,2023-2024,543,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X8T2,2023-2024,632,Tricounty-Removal
Region,fox-valley,FVDEWVAR,X9T3,2023-2024,485,Tricounty-Removal
County,55087,FDEWVAR,,2023-2024,1749,County-Removal
County,55015,FDEWVAR,,2023-2024,55,County-Removal
County,55139,FDEWVAR,,2023-2024,2360,County-Removal
County,55087,FDEWVAR,A,2023-2024,31,County-Removal
County,55139,FDEWVAR,A,2023-2024,23,County-Removal
County,55087,FDEWVAR,B,2023-2024,137,County-Removal
County,55139,FDEWVAR,B,2023-2024,393,County-Removal
County,55087,FDEWVAR,ECO1,2023-2024,1135,County-Removal
County,55015,FDEWVAR,ECO1,2023-2024,37,County-Removal
County,55139,FDEWVAR,ECO1,2023-2024,1866,County-Removal
County,55087,FDEWVAR,EL1,2023-2024,95,County-Removal
County,55015,FDEWVAR,EL1,2023-2024,9,County-Removal
County,55139,FDEWVAR,EL1,2023-2024,81,County-Removal
County,55087,FDEWVAR,ENG3,2023-2024,1354,County-Removal
County,55015,FDEWVAR,ENG3,2023-2024,45,County-Removal
County,55139,FDEWVAR,ENG3,2023-2024,2152,County-Removal
County,55087,FDEWVAR,FEM3,2023-2024,407,County-Removal
County,55015,FDEWVAR,FEM3,2023-2024,10,County-Removal
County,55139,FDEWVAR,FEM3,2023-2024,786,County-Removal
County,55087,FDEWVAR,H,2023-2024,214,County-Removal
County,55015,FDEWVAR,H,2023-2024,7,County-Removal
County,55139,FDEWVAR,H,2023-2024,275,County-Removal
County,55087,FDEWVAR,K41,2023-2024,8,County-Removal
County,55087,FDEWVAR,KIN2,2023-2024,75,County-Removal
County,55139,FDEWVAR,KIN2,2023-2024,85,County-Removal
County,55087,FDEWVAR,MAL15,2023-2024,1291,County-Removal
County,55015,FDEWVAR,MAL15,2023-2024,45,County-Removal
County,55139,FDEWVAR,MAL15,2023-2024,1434,County-Removal
County,55087,FDEWVAR,NOT3,2023-2024,614,County-Removal
County,55015,FDEWVAR,NOT3,2023-2024,18,County-Removal
County,55139,FDEWVAR,NOT3,2023-2024,493,County-Removal
County,55087,FDEWVAR,NOT4,2023-2024,1749,County-Removal
County,55015,FDEWVAR,NOT4,2023-2024,55,County-Removal
County,55139,FDEWVAR,NOT4,2023-2024,2360,County-Removal
County,55087,FDEWVAR,P,2023-2024,28,County-Removal
County,55139,FDEWVAR,P,2023-2024,1,County-Removal
County,55087,FDEWVAR,Q,2023-2024,206,County-Removal
County,55015,FDEWVAR,Q,2023-2024,2,County-Removal
County,55139,FDEWVAR,Q,2023-2024,352,County-Removal
County,55087,FDEWVAR,SWD1,2023-2024,871,County-Removal
County,55015,FDEWVAR,SWD1,2023-2024,19,County-Removal
County,55139,FDEWVAR,SWD1,2023-2024,974,County-Removal
County,55087,FDEWVAR,SWO1,2023-2024,868,County-Removal
County,55015,FDEWVAR,SWO1,2023-2024,36,County-Removal
County,55139,FDEWVAR,SWO1,2023-2024,1386,County-Removal
County,55139,FDEWVAR,UNK3,2023-2024,2361,County-Removal
County,55087,FDEWVAR,UNK3,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK3,2023-2024,55,County-Removal
County,55087,FDEWVAR,UNK4,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK4,2023-2024,55,County-Removal
County,55139,FDEWVAR,UNK4,2023-2024,2360,County-Removal
County,55087,FDEWVAR,UNK5,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK5,2023-2024,55,County-Removal
County,55139,FDEWVAR,UNK5,2023-2024,2360,County-Removal
County,55087,FDEWVAR,UNK6,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK6,2023-2024,55,County-Removal
County,55139,FDEWVAR,UNK6,2023-2024,2360,County-Removal
County,55139,FDEWVAR,UNK7,2023-2024,2361,County-Removal
County,55087,FDEWVAR,UNK7,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK7,2023-2024,55,County-Removal
County,55087,FDEWVAR,UNK8,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK8,2023-2024,55,County-Removal
County,55139,FDEWVAR,UNK8,2023-2024,2360,County-Removal
County,55087,FDEWVAR,UNK9,2023-2024,1749,County-Removal
County,55015,FDEWVAR,UNK9,2023-2024,55,County-Removal
County,55139,FDEWVAR,UNK9,2023-2024,2360,County-Removal
County,55087,FDEWVAR,W,2023-2024,1037,County-Removal
County,55015,FDEWVAR,W,2023-2024,36,County-Removal
County,55139,FDEWVAR,W,2023-2024,1229,County-Removal
County,55087,FDEWVAR,X1012,2023-2024,173,County-Removal
County,55015,FDEWVAR,X1012,2023-2024,10,County-Removal
County,55139,FDEWVAR,X1012,2023-2024,254,County-Removal
County,55087,FDEWVAR,X113,2023-2024,135,County-Removal
County,55015,FDEWVAR,X113,2023-2024,9,County-Removal
County,55139,FDEWVAR,X113,2023-2024,168,County-Removal
County,55087,FDEWVAR,X1210,2023-2024,70,County-Removal
County,55015,FDEWVAR,X1210,2023-2024,2,County-Removal
County,55139,FDEWVAR,X1210,2023-2024,96,County-Removal
County,55087,FDEWVAR,X1S2,2023-2024,68,County-Removal
County,55139,FDEWVAR,X1S2,2023-2024,144,County-Removal
County,55087,FDEWVAR,X2N2,2023-2024,53,County-Removal
County,55015,FDEWVAR,X2N2,2023-2024,4,County-Removal
County,55139,FDEWVAR,X2N2,2023-2024,117,County-Removal
County,55087,FDEWVAR,X3R2,2023-2024,84,County-Removal
County,55139,FDEWVAR,X3R2,2023-2024,81,County-Removal
County,55015,FDEWVAR,X3R2,2023-2024,1,County-Removal
County,55087,FDEWVAR,X4T2,2023-2024,65,County-Removal
County,55139,FDEWVAR,X4T2,2023-2024,126,County-Removal
County,55015,FDEWVAR,X4T2,2023-2024,1,County-Removal
County,55087,FDEWVAR,X5T3,2023-2024,117,County-Removal
County,55015,FDEWVAR,X5T3,2023-2024,1,County-Removal
County,55139,FDEWVAR,X5T3,2023-2024,137,County-Removal
County,55087,FDEWVAR,X6T3,2023-2024,166,County-Removal
County,55015,FDEWVAR,X6T3,2023-2024,4,County-Removal
County,55139,FDEWVAR,X6T3,2023-2024,238,County-Removal
County,55087,FDEWVAR,X7T2,2023-2024,234,County-Removal
County,55015,FDEWVAR,X7T2,2023-2024,5,County-Removal
County,55139,FDEWVAR,X7T2,2023-2024,304,County-Removal
County,55087,FDEWVAR,X8T2,2023-2024,275,County-Removal
County,55015,FDEWVAR,X8T2,2023-2024,8,County-Removal
County,55139,FDEWVAR,X8T2,2023-2024,349,County-Removal
County,55087,FDEWVAR,X9T3,2023-2024,214,County-Removal
County,55015,FDEWVAR,X9T3,2023-2024,10,County-Removal
County,55139,FDEWVAR,X9T3,2023-2024,261,County-Removal
Zip code,53014,FDEWVAR,,2023-2024,10,Zipcode-Removal
Zip code,53014,FDEWVAR,ECO1,2023-2024,8,Zipcode-Removal
Zip code,53014,FDEWVAR,EL1,2023-2024,2,Zipcode-Removal
Zip code,53014,FDEWVAR,ENG3,2023-2024,8,Zipcode-Removal
Zip code,53014,FDEWVAR,FEM3,2023-2024,3,Zipcode-Removal
Zip code,53014,FDEWVAR,H,2023-2024,2,Zipcode-Removal
Zip code,53014,FDEWVAR,MAL15,2023-2024,7,Zipcode-Removal
Zip code,53014,FDEWVAR,NOT3,2023-2024,2,Zipcode-Removal
Zip code,53014,FDEWVAR,NOT4,2023-2024,10,Zipcode-Removal
Zip code,53014,FDEWVAR,SWD1,2023-2024,2,Zipcode-Removal
Zip code,53014,FDEWVAR,SWO1,2023-2024,8,Zipcode-Removal
Zip code,53014,FDEWVAR,UNK2,2023-2024,10,Zipcode-Removal
Zip code,53014,FDEWVAR,UNK5,2023-2024,1,Zipcode-Removal
Zip code,53014,FDEWVAR,W,2023-2024,7,Zipcode-Removal
Zip code,53014,FDEWVAR,X1012,2023-2024,4,Zipcode-Removal
Zip code,53014,FDEWVAR,X1210,2023-2024,1,Zipcode-Removal
Zip code,53014,FDEWVAR,X7T2,2023-2024,2,Zipcode-Removal
Zip code,53014,FDEWVAR,X8T2,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,,2023-2024,15,Zipcode-Removal
Zip code,53061,FDEWVAR,ECO1,2023-2024,11,Zipcode-Removal
Zip code,53061,FDEWVAR,EL1,2023-2024,2,Zipcode-Removal
Zip code,53061,FDEWVAR,ENG3,2023-2024,13,Zipcode-Removal
Zip code,53061,FDEWVAR,FEM3,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,H,2023-2024,2,Zipcode-Removal
Zip code,53061,FDEWVAR,MAL15,2023-2024,12,Zipcode-Removal
Zip code,53061,FDEWVAR,NOT3,2023-2024,4,Zipcode-Removal
Zip code,53061,FDEWVAR,NOT4,2023-2024,15,Zipcode-Removal
Zip code,53061,FDEWVAR,Q,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,SWD1,2023-2024,5,Zipcode-Removal
Zip code,53061,FDEWVAR,SWO1,2023-2024,10,Zipcode-Removal
Zip code,53061,FDEWVAR,UNK2,2023-2024,15,Zipcode-Removal
Zip code,53061,FDEWVAR,UNK5,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,W,2023-2024,11,Zipcode-Removal
Zip code,53061,FDEWVAR,X1012,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,X113,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,X1210,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,X2N2,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,X4T2,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,X8T2,2023-2024,2,Zipcode-Removal
Zip code,53061,FDEWVAR,X9T3,2023-2024,4,Zipcode-Removal
Zip code,53088,FDEWVAR,,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,ECO1,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,ENG3,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,FEM3,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,MAL15,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,NOT3,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,NOT4,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,SWO1,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,UNK2,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,UNK4,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,UNK5,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,W,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,X113,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,X3R2,2023-2024,1,Zipcode-Removal
Zip code,54106,FDEWVAR,,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,MAL15,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,NOT3,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,NOT4,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,SWD1,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,UNK2,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,UNK4,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,W,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,X6T3,2023-2024,2,Zipcode-Removal
Zip code,54110,FDEWVAR,,2023-2024,21,Zipcode-Removal
Zip code,54110,FDEWVAR,ECO1,2023-2024,16,Zipcode-Removal
Zip code,54110,FDEWVAR,EL1,2023-2024,1,Zipcode-Removal
Zip code,54110,FDEWVAR,ENG3,2023-2024,20,Zipcode-Removal
Zip code,54110,FDEWVAR,FEM3,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,H,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,MAL15,2023-2024,18,Zipcode-Removal
Zip code,54110,FDEWVAR,NOT3,2023-2024,5,Zipcode-Removal
Zip code,54110,FDEWVAR,NOT4,2023-2024,21,Zipcode-Removal
Zip code,54110,FDEWVAR,Q,2023-2024,1,Zipcode-Removal
Zip code,54110,FDEWVAR,SWD1,2023-2024,12,Zipcode-Removal
Zip code,54110,FDEWVAR,SWO1,2023-2024,9,Zipcode-Removal
Zip code,54110,FDEWVAR,UNK2,2023-2024,21,Zipcode-Removal
Zip code,54110,FDEWVAR,UNK5,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,W,2023-2024,14,Zipcode-Removal
Zip code,54110,FDEWVAR,X1012,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,X113,2023-2024,5,Zipcode-Removal
Zip code,54110,FDEWVAR,X2N2,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,X6T3,2023-2024,4,Zipcode-Removal
Zip code,54110,FDEWVAR,X7T2,2023-2024,1,Zipcode-Removal
Zip code,54110,FDEWVAR,X9T3,2023-2024,5,Zipcode-Removal
Zip code,54113,FDEWVAR,,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,ECO1,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,ENG3,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,NOT4,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,Q,2023-2024,1,Zipcode-Removal
Zip code,54113,FDEWVAR,SWD1,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,UNK2,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,UNK7,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,W,2023-2024,2,Zipcode-Removal
Zip code,54113,FDEWVAR,X1S2,2023-2024,2,Zipcode-Removal
Zip code,54113,FDEWVAR,X2N2,2023-2024,1,Zipcode-Removal
Zip code,54129,FDEWVAR,,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,ECO1,2023-2024,1,Zipcode-Removal
Zip code,54129,FDEWVAR,EL1,2023-2024,4,Zipcode-Removal
Zip code,54129,FDEWVAR,ENG3,2023-2024,3,Zipcode-Removal
Zip code,54129,FDEWVAR,MAL15,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,NOT3,2023-2024,6,Zipcode-Removal
Zip code,54129,FDEWVAR,NOT4,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,SWO1,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,UNK2,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,UNK5,2023-2024,4,Zipcode-Removal
Zip code,54129,FDEWVAR,W,2023-2024,3,Zipcode-Removal
Zip code,54129,FDEWVAR,X5T3,2023-2024,1,Zipcode-Removal
Zip code,54129,FDEWVAR,X7T2,2023-2024,2,Zipcode-Removal
Zip code,54129,FDEWVAR,X8T2,2023-2024,3,Zipcode-Removal
Zip code,54129,FDEWVAR,X9T3,2023-2024,1,Zipcode-Removal
Zip code,54130,FDEWVAR,,2023-2024,361,Zipcode-Removal
Zip code,54130,FDEWVAR,A,2023-2024,4,Zipcode-Removal
Zip code,54130,FDEWVAR,ECO1,2023-2024,182,Zipcode-Removal
Zip code,54130,FDEWVAR,EL1,2023-2024,19,Zipcode-Removal
Zip code,54130,FDEWVAR,ENG3,2023-2024,272,Zipcode-Removal
Zip code,54130,FDEWVAR,FEM3,2023-2024,49,Zipcode-Removal
Zip code,54130,FDEWVAR,H,2023-2024,41,Zipcode-Removal
Zip code,54130,FDEWVAR,K41,2023-2024,1,Zipcode-Removal
Zip code,54130,FDEWVAR,KIN2,2023-2024,33,Zipcode-Removal
Zip code,54130,FDEWVAR,MAL15,2023-2024,283,Zipcode-Removal
Zip code,54130,FDEWVAR,NOT3,2023-2024,179,Zipcode-Removal
Zip code,54130,FDEWVAR,NOT4,2023-2024,361,Zipcode-Removal
Zip code,54130,FDEWVAR,Q,2023-2024,34,Zipcode-Removal
Zip code,54130,FDEWVAR,SWD1,2023-2024,205,Zipcode-Removal
Zip code,54130,FDEWVAR,SWO1,2023-2024,156,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK2,2023-2024,361,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK4,2023-2024,70,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK5,2023-2024,37,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK7,2023-2024,29,Zipcode-Removal
Zip code,54130,FDEWVAR,W,2023-2024,245,Zipcode-Removal
Zip code,54130,FDEWVAR,X1012,2023-2024,25,Zipcode-Removal
Zip code,54130,FDEWVAR,X113,2023-2024,20,Zipcode-Removal
Zip code,54130,FDEWVAR,X1210,2023-2024,5,Zipcode-Removal
Zip code,54130,FDEWVAR,X1S2,2023-2024,27,Zipcode-Removal
Zip code,54130,FDEWVAR,X2N2,2023-2024,14,Zipcode-Removal
Zip code,54130,FDEWVAR,X3R2,2023-2024,49,Zipcode-Removal
Zip code,54130,FDEWVAR,X4T2,2023-2024,12,Zipcode-Removal
