layer,geoid,topic,stratification,period,value,type
Zip code,54130,FDEWVAR,X5T3,2023-2024,30,Zipcode-Removal
Zip code,54130,FDEWVAR,X6T3,2023-2024,32,Zipcode-Removal
Zip code,54130,FDEWVAR,X7T2,2023-2024,46,Zipcode-Removal
Zip code,54130,FDEWVAR,X8T2,2023-2024,34,Zipcode-Removal
Zip code,54130,FDEWVAR,X9T3,2023-2024,33,Zipcode-Removal
Zip code,54136,FDEWVAR,,2023-2024,167,Zipcode-Removal
Zip code,54136,FDEWVAR,A,2023-2024,6,Zipcode-Removal
Zip code,54136,FDEWVAR,ECO1,2023-2024,70,Zipcode-Removal
Zip code,54136,FDEWVAR,EL1,2023-2024,9,Zipcode-Removal
Zip code,54136,FDEWVAR,ENG3,2023-2024,158,Zipcode-Removal
Zip code,54136,FDEWVAR,FEM3,2023-2024,23,Zipcode-Removal
Zip code,54136,FDEWVAR,H,2023-2024,18,Zipcode-Removal
Zip code,54136,FDEWVAR,KIN2,2023-2024,1,Zipcode-Removal
Zip code,54136,FDEWVAR,MAL15,2023-2024,130,Zipcode-Removal
Zip code,54136,FDEWVAR,NOT3,2023-2024,97,Zipcode-Removal
Zip code,54136,FDEWVAR,NOT4,2023-2024,167,Zipcode-Removal
Zip code,54136,FDEWVAR,Q,2023-2024,8,Zipcode-Removal
Zip code,54136,FDEWVAR,SWD1,2023-2024,82,Zipcode-Removal
Zip code,54136,FDEWVAR,SWO1,2023-2024,85,Zipcode-Removal
Zip code,54136,FDEWVAR,UNK2,2023-2024,167,Zipcode-Removal
Zip code,54136,FDEWVAR,UNK5,2023-2024,4,Zipcode-Removal
Zip code,54136,FDEWVAR,UNK7,2023-2024,14,Zipcode-Removal
Zip code,54136,FDEWVAR,W,2023-2024,131,Zipcode-Removal
Zip code,54136,FDEWVAR,X1012,2023-2024,19,Zipcode-Removal
Zip code,54136,FDEWVAR,X113,2023-2024,18,Zipcode-Removal
Zip code,54136,FDEWVAR,X1210,2023-2024,13,Zipcode-Removal
Zip code,54136,FDEWVAR,X2N2,2023-2024,3,Zipcode-Removal
Zip code,54136,FDEWVAR,X3R2,2023-2024,2,Zipcode-Removal
Zip code,54136,FDEWVAR,X4T2,2023-2024,6,Zipcode-Removal
Zip code,54136,FDEWVAR,X5T3,2023-2024,6,Zipcode-Removal
Zip code,54136,FDEWVAR,X6T3,2023-2024,4,Zipcode-Removal
Zip code,54136,FDEWVAR,X7T2,2023-2024,23,Zipcode-Removal
Zip code,54136,FDEWVAR,X8T2,2023-2024,36,Zipcode-Removal
Zip code,54136,FDEWVAR,X9T3,2023-2024,36,Zipcode-Removal
Zip code,54140,FDEWVAR,,2023-2024,73,Zipcode-Removal
Zip code,54140,FDEWVAR,B,2023-2024,4,Zipcode-Removal
Zip code,54140,FDEWVAR,ECO1,2023-2024,38,Zipcode-Removal
Zip code,54140,FDEWVAR,EL1,2023-2024,3,Zipcode-Removal
Zip code,54140,FDEWVAR,ENG3,2023-2024,54,Zipcode-Removal
Zip code,54140,FDEWVAR,FEM3,2023-2024,8,Zipcode-Removal
Zip code,54140,FDEWVAR,H,2023-2024,7,Zipcode-Removal
Zip code,54140,FDEWVAR,KIN2,2023-2024,1,Zipcode-Removal
Zip code,54140,FDEWVAR,MAL15,2023-2024,60,Zipcode-Removal
Zip code,54140,FDEWVAR,NOT3,2023-2024,35,Zipcode-Removal
Zip code,54140,FDEWVAR,NOT4,2023-2024,73,Zipcode-Removal
Zip code,54140,FDEWVAR,Q,2023-2024,7,Zipcode-Removal
Zip code,54140,FDEWVAR,SWD1,2023-2024,33,Zipcode-Removal
Zip code,54140,FDEWVAR,SWO1,2023-2024,40,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK2,2023-2024,73,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK4,2023-2024,16,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK5,2023-2024,2,Zipcode-Removal
Zip code,54140,FDEWVAR,UNK7,2023-2024,5,Zipcode-Removal
Zip code,54140,FDEWVAR,W,2023-2024,53,Zipcode-Removal
Zip code,54140,FDEWVAR,X1012,2023-2024,6,Zipcode-Removal
Zip code,54140,FDEWVAR,X113,2023-2024,6,Zipcode-Removal
Zip code,54140,FDEWVAR,X1210,2023-2024,1,Zipcode-Removal
Zip code,54140,FDEWVAR,X1S2,2023-2024,3,Zipcode-Removal
Zip code,54140,FDEWVAR,X2N2,2023-2024,2,Zipcode-Removal
Zip code,54140,FDEWVAR,X3R2,2023-2024,3,Zipcode-Removal
Zip code,54140,FDEWVAR,X4T2,2023-2024,1,Zipcode-Removal
Zip code,54140,FDEWVAR,X5T3,2023-2024,4,Zipcode-Removal
Zip code,54140,FDEWVAR,X6T3,2023-2024,12,Zipcode-Removal
Zip code,54140,FDEWVAR,X7T2,2023-2024,15,Zipcode-Removal
Zip code,54140,FDEWVAR,X8T2,2023-2024,11,Zipcode-Removal
Zip code,54140,FDEWVAR,X9T3,2023-2024,8,Zipcode-Removal
Zip code,54165,FDEWVAR,,2023-2024,113,Zipcode-Removal
Zip code,54165,FDEWVAR,ECO1,2023-2024,88,Zipcode-Removal
Zip code,54165,FDEWVAR,FEM3,2023-2024,19,Zipcode-Removal
Zip code,54165,FDEWVAR,H,2023-2024,16,Zipcode-Removal
Zip code,54165,FDEWVAR,KIN2,2023-2024,1,Zipcode-Removal
Zip code,54165,FDEWVAR,MAL15,2023-2024,94,Zipcode-Removal
Zip code,54165,FDEWVAR,NOT3,2023-2024,25,Zipcode-Removal
Zip code,54165,FDEWVAR,NOT4,2023-2024,113,Zipcode-Removal
Zip code,54165,FDEWVAR,P,2023-2024,24,Zipcode-Removal
Zip code,54165,FDEWVAR,Q,2023-2024,8,Zipcode-Removal
Zip code,54165,FDEWVAR,SWD1,2023-2024,56,Zipcode-Removal
Zip code,54165,FDEWVAR,SWO1,2023-2024,57,Zipcode-Removal
Zip code,54165,FDEWVAR,UNK2,2023-2024,113,Zipcode-Removal
Zip code,54165,FDEWVAR,UNK4,2023-2024,113,Zipcode-Removal
Zip code,54165,FDEWVAR,UNK5,2023-2024,5,Zipcode-Removal
Zip code,54165,FDEWVAR,W,2023-2024,60,Zipcode-Removal
Zip code,54165,FDEWVAR,X1012,2023-2024,15,Zipcode-Removal
Zip code,54165,FDEWVAR,X113,2023-2024,10,Zipcode-Removal
Zip code,54165,FDEWVAR,X1210,2023-2024,2,Zipcode-Removal
Zip code,54165,FDEWVAR,X1S2,2023-2024,1,Zipcode-Removal
Zip code,54165,FDEWVAR,X2N2,2023-2024,5,Zipcode-Removal
Zip code,54165,FDEWVAR,X3R2,2023-2024,4,Zipcode-Removal
Zip code,54165,FDEWVAR,X4T2,2023-2024,3,Zipcode-Removal
Zip code,54165,FDEWVAR,X5T3,2023-2024,13,Zipcode-Removal
Zip code,54165,FDEWVAR,X6T3,2023-2024,13,Zipcode-Removal
Zip code,54165,FDEWVAR,X7T2,2023-2024,27,Zipcode-Removal
Zip code,54165,FDEWVAR,X8T2,2023-2024,11,Zipcode-Removal
Zip code,54165,FDEWVAR,X9T3,2023-2024,8,Zipcode-Removal
Zip code,54170,FDEWVAR,,2023-2024,22,Zipcode-Removal
Zip code,54170,FDEWVAR,ECO1,2023-2024,9,Zipcode-Removal
Zip code,54170,FDEWVAR,ENG3,2023-2024,22,Zipcode-Removal
Zip code,54170,FDEWVAR,FEM3,2023-2024,9,Zipcode-Removal
Zip code,54170,FDEWVAR,K41,2023-2024,1,Zipcode-Removal
Zip code,54170,FDEWVAR,MAL15,2023-2024,13,Zipcode-Removal
Zip code,54170,FDEWVAR,NOT3,2023-2024,13,Zipcode-Removal
Zip code,54170,FDEWVAR,NOT4,2023-2024,22,Zipcode-Removal
Zip code,54170,FDEWVAR,SWD1,2023-2024,8,Zipcode-Removal
Zip code,54170,FDEWVAR,SWO1,2023-2024,14,Zipcode-Removal
Zip code,54170,FDEWVAR,UNK2,2023-2024,22,Zipcode-Removal
Zip code,54170,FDEWVAR,UNK5,2023-2024,3,Zipcode-Removal
Zip code,54170,FDEWVAR,UNK8,2023-2024,3,Zipcode-Removal
Zip code,54170,FDEWVAR,W,2023-2024,19,Zipcode-Removal
Zip code,54170,FDEWVAR,X1012,2023-2024,1,Zipcode-Removal
Zip code,54170,FDEWVAR,X113,2023-2024,9,Zipcode-Removal
Zip code,54170,FDEWVAR,X2N2,2023-2024,2,Zipcode-Removal
Zip code,54170,FDEWVAR,X3R2,2023-2024,4,Zipcode-Removal
Zip code,54170,FDEWVAR,X8T2,2023-2024,1,Zipcode-Removal
Zip code,54170,FDEWVAR,X9T3,2023-2024,1,Zipcode-Removal
Zip code,54901,FDEWVAR,,2023-2024,699,Zipcode-Removal
Zip code,54901,FDEWVAR,A,2023-2024,11,Zipcode-Removal
Zip code,54901,FDEWVAR,B,2023-2024,201,Zipcode-Removal
Zip code,54901,FDEWVAR,ECO1,2023-2024,615,Zipcode-Removal
Zip code,54901,FDEWVAR,EL1,2023-2024,19,Zipcode-Removal
Zip code,54901,FDEWVAR,ENG3,2023-2024,643,Zipcode-Removal
Zip code,54901,FDEWVAR,FEM3,2023-2024,241,Zipcode-Removal
Zip code,54901,FDEWVAR,H,2023-2024,83,Zipcode-Removal
Zip code,54901,FDEWVAR,KIN2,2023-2024,27,Zipcode-Removal
Zip code,54901,FDEWVAR,MAL15,2023-2024,458,Zipcode-Removal
Zip code,54901,FDEWVAR,NOT3,2023-2024,84,Zipcode-Removal
Zip code,54901,FDEWVAR,NOT4,2023-2024,699,Zipcode-Removal
Zip code,54901,FDEWVAR,P,2023-2024,1,Zipcode-Removal
Zip code,54901,FDEWVAR,Q,2023-2024,125,Zipcode-Removal
Zip code,54901,FDEWVAR,SWD1,2023-2024,287,Zipcode-Removal
Zip code,54901,FDEWVAR,SWO1,2023-2024,412,Zipcode-Removal
Zip code,54901,FDEWVAR,UNK2,2023-2024,699,Zipcode-Removal
Zip code,54901,FDEWVAR,UNK4,2023-2024,37,Zipcode-Removal
Zip code,54901,FDEWVAR,UNK5,2023-2024,34,Zipcode-Removal
Zip code,54901,FDEWVAR,W,2023-2024,244,Zipcode-Removal
Zip code,54901,FDEWVAR,X1012,2023-2024,76,Zipcode-Removal
Zip code,54901,FDEWVAR,X113,2023-2024,51,Zipcode-Removal
Zip code,54901,FDEWVAR,X1210,2023-2024,27,Zipcode-Removal
Zip code,54901,FDEWVAR,X1S2,2023-2024,52,Zipcode-Removal
Zip code,54901,FDEWVAR,X2N2,2023-2024,54,Zipcode-Removal
Zip code,54901,FDEWVAR,X3R2,2023-2024,36,Zipcode-Removal
Zip code,54901,FDEWVAR,X4T2,2023-2024,33,Zipcode-Removal
Zip code,54901,FDEWVAR,X5T3,2023-2024,36,Zipcode-Removal
Zip code,54901,FDEWVAR,X6T3,2023-2024,74,Zipcode-Removal
Zip code,54901,FDEWVAR,X7T2,2023-2024,103,Zipcode-Removal
Zip code,54901,FDEWVAR,X8T2,2023-2024,65,Zipcode-Removal
Zip code,54901,FDEWVAR,X9T3,2023-2024,65,Zipcode-Removal
Zip code,54902,FDEWVAR,,2023-2024,477,Zipcode-Removal
Zip code,54902,FDEWVAR,A,2023-2024,2,Zipcode-Removal
Zip code,54902,FDEWVAR,B,2023-2024,46,Zipcode-Removal
Zip code,54902,FDEWVAR,ECO1,2023-2024,334,Zipcode-Removal
Zip code,54902,FDEWVAR,EL1,2023-2024,6,Zipcode-Removal
Zip code,54902,FDEWVAR,ENG3,2023-2024,471,Zipcode-Removal
Zip code,54902,FDEWVAR,FEM3,2023-2024,166,Zipcode-Removal
Zip code,54902,FDEWVAR,H,2023-2024,27,Zipcode-Removal
Zip code,54902,FDEWVAR,KIN2,2023-2024,1,Zipcode-Removal
Zip code,54902,FDEWVAR,MAL15,2023-2024,172,Zipcode-Removal
Zip code,54902,FDEWVAR,NOT3,2023-2024,143,Zipcode-Removal
Zip code,54902,FDEWVAR,NOT4,2023-2024,477,Zipcode-Removal
Zip code,54902,FDEWVAR,Q,2023-2024,61,Zipcode-Removal
Zip code,54902,FDEWVAR,SWD1,2023-2024,190,Zipcode-Removal
Zip code,54902,FDEWVAR,SWO1,2023-2024,287,Zipcode-Removal
Zip code,54902,FDEWVAR,UNK2,2023-2024,477,Zipcode-Removal
Zip code,54902,FDEWVAR,UNK5,2023-2024,27,Zipcode-Removal
Zip code,54902,FDEWVAR,UNK7,2023-2024,139,Zipcode-Removal
Zip code,54902,FDEWVAR,W,2023-2024,314,Zipcode-Removal
Zip code,54902,FDEWVAR,X1012,2023-2024,54,Zipcode-Removal
Zip code,54902,FDEWVAR,X113,2023-2024,46,Zipcode-Removal
Zip code,54902,FDEWVAR,X1210,2023-2024,36,Zipcode-Removal
Zip code,54902,FDEWVAR,X1S2,2023-2024,10,Zipcode-Removal
Zip code,54902,FDEWVAR,X2N2,2023-2024,7,Zipcode-Removal
Zip code,54902,FDEWVAR,X3R2,2023-2024,2,Zipcode-Removal
Zip code,54902,FDEWVAR,X4T2,2023-2024,27,Zipcode-Removal
Zip code,54902,FDEWVAR,X5T3,2023-2024,14,Zipcode-Removal
Zip code,54902,FDEWVAR,X6T3,2023-2024,49,Zipcode-Removal
Zip code,54902,FDEWVAR,X7T2,2023-2024,49,Zipcode-Removal
Zip code,54902,FDEWVAR,X8T2,2023-2024,108,Zipcode-Removal
Zip code,54902,FDEWVAR,X9T3,2023-2024,74,Zipcode-Removal
Zip code,54904,FDEWVAR,,2023-2024,70,Zipcode-Removal
Zip code,54904,FDEWVAR,A,2023-2024,1,Zipcode-Removal
Zip code,54904,FDEWVAR,B,2023-2024,8,Zipcode-Removal
Zip code,54904,FDEWVAR,ECO1,2023-2024,49,Zipcode-Removal
Zip code,54904,FDEWVAR,EL1,2023-2024,1,Zipcode-Removal
Zip code,54904,FDEWVAR,ENG3,2023-2024,69,Zipcode-Removal
Zip code,54904,FDEWVAR,FEM3,2023-2024,16,Zipcode-Removal
Zip code,54904,FDEWVAR,H,2023-2024,2,Zipcode-Removal
Zip code,54904,FDEWVAR,KIN2,2023-2024,14,Zipcode-Removal
Zip code,54904,FDEWVAR,MAL15,2023-2024,54,Zipcode-Removal
Zip code,54904,FDEWVAR,NOT3,2023-2024,21,Zipcode-Removal
Zip code,54904,FDEWVAR,NOT4,2023-2024,70,Zipcode-Removal
Zip code,54904,FDEWVAR,Q,2023-2024,17,Zipcode-Removal
Zip code,54904,FDEWVAR,SWD1,2023-2024,26,Zipcode-Removal
Zip code,54904,FDEWVAR,SWO1,2023-2024,44,Zipcode-Removal
Zip code,54904,FDEWVAR,UNK2,2023-2024,70,Zipcode-Removal
Zip code,54904,FDEWVAR,W,2023-2024,42,Zipcode-Removal
Zip code,54904,FDEWVAR,X1S2,2023-2024,9,Zipcode-Removal
Zip code,54904,FDEWVAR,X2N2,2023-2024,1,Zipcode-Removal
Zip code,54904,FDEWVAR,X3R2,2023-2024,6,Zipcode-Removal
Zip code,54904,FDEWVAR,X4T2,2023-2024,5,Zipcode-Removal
Zip code,54904,FDEWVAR,X5T3,2023-2024,7,Zipcode-Removal
Zip code,54904,FDEWVAR,X6T3,2023-2024,2,Zipcode-Removal
Zip code,54904,FDEWVAR,X7T2,2023-2024,6,Zipcode-Removal
Zip code,54904,FDEWVAR,X8T2,2023-2024,20,Zipcode-Removal
Zip code,54911,FDEWVAR,,2023-2024,241,Zipcode-Removal
Zip code,54911,FDEWVAR,A,2023-2024,4,Zipcode-Removal
Zip code,54911,FDEWVAR,B,2023-2024,23,Zipcode-Removal
Zip code,54911,FDEWVAR,ECO1,2023-2024,202,Zipcode-Removal
Zip code,54911,FDEWVAR,EL1,2023-2024,14,Zipcode-Removal
Zip code,54911,FDEWVAR,ENG3,2023-2024,217,Zipcode-Removal
Zip code,54911,FDEWVAR,FEM3,2023-2024,81,Zipcode-Removal
Zip code,54911,FDEWVAR,H,2023-2024,30,Zipcode-Removal
Zip code,54911,FDEWVAR,K41,2023-2024,3,Zipcode-Removal
Zip code,54911,FDEWVAR,KIN2,2023-2024,8,Zipcode-Removal
Zip code,54911,FDEWVAR,MAL15,2023-2024,160,Zipcode-Removal
Zip code,54911,FDEWVAR,NOT3,2023-2024,39,Zipcode-Removal
Zip code,54911,FDEWVAR,NOT4,2023-2024,241,Zipcode-Removal
Zip code,54911,FDEWVAR,P,2023-2024,4,Zipcode-Removal
Zip code,54911,FDEWVAR,Q,2023-2024,34,Zipcode-Removal
Zip code,54911,FDEWVAR,SWD1,2023-2024,151,Zipcode-Removal
Zip code,54911,FDEWVAR,SWO1,2023-2024,80,Zipcode-Removal
Zip code,54911,FDEWVAR,UNK2,2023-2024,241,Zipcode-Removal
Zip code,54911,FDEWVAR,UNK4,2023-2024,10,Zipcode-Removal
Zip code,54911,FDEWVAR,UNK5,2023-2024,16,Zipcode-Removal
Zip code,54911,FDEWVAR,UNK6,2023-2024,10,Zipcode-Removal
Zip code,54911,FDEWVAR,W,2023-2024,130,Zipcode-Removal
Zip code,54911,FDEWVAR,X1012,2023-2024,6,Zipcode-Removal
Zip code,54911,FDEWVAR,X113,2023-2024,1,Zipcode-Removal
Zip code,54911,FDEWVAR,X1S2,2023-2024,7,Zipcode-Removal
Zip code,54911,FDEWVAR,X2N2,2023-2024,8,Zipcode-Removal
Zip code,54911,FDEWVAR,X3R2,2023-2024,2,Zipcode-Removal
Zip code,54911,FDEWVAR,X4T2,2023-2024,20,Zipcode-Removal
Zip code,54911,FDEWVAR,X5T3,2023-2024,21,Zipcode-Removal
Zip code,54911,FDEWVAR,X6T3,2023-2024,32,Zipcode-Removal
Zip code,54911,FDEWVAR,X7T2,2023-2024,54,Zipcode-Removal
Zip code,54911,FDEWVAR,X8T2,2023-2024,79,Zipcode-Removal
Zip code,54913,FDEWVAR,,2023-2024,101,Zipcode-Removal
Zip code,54913,FDEWVAR,A,2023-2024,3,Zipcode-Removal
Zip code,54913,FDEWVAR,B,2023-2024,14,Zipcode-Removal
Zip code,54913,FDEWVAR,ECO1,2023-2024,60,Zipcode-Removal
Zip code,54913,FDEWVAR,EL1,2023-2024,6,Zipcode-Removal
Zip code,54913,FDEWVAR,ENG3,2023-2024,95,Zipcode-Removal
Zip code,54913,FDEWVAR,FEM3,2023-2024,34,Zipcode-Removal
Zip code,54913,FDEWVAR,H,2023-2024,24,Zipcode-Removal
Zip code,54913,FDEWVAR,MAL15,2023-2024,67,Zipcode-Removal
Zip code,54913,FDEWVAR,NOT3,2023-2024,41,Zipcode-Removal
Zip code,54913,FDEWVAR,NOT4,2023-2024,101,Zipcode-Removal
Zip code,54913,FDEWVAR,Q,2023-2024,5,Zipcode-Removal
Zip code,54913,FDEWVAR,SWD1,2023-2024,33,Zipcode-Removal
Zip code,54913,FDEWVAR,SWO1,2023-2024,68,Zipcode-Removal
Zip code,54913,FDEWVAR,UNK2,2023-2024,101,Zipcode-Removal
Zip code,54913,FDEWVAR,UNK5,2023-2024,2,Zipcode-Removal
Zip code,54913,FDEWVAR,W,2023-2024,53,Zipcode-Removal
Zip code,54913,FDEWVAR,X1012,2023-2024,32,Zipcode-Removal
Zip code,54913,FDEWVAR,X113,2023-2024,21,Zipcode-Removal
Zip code,54913,FDEWVAR,X1210,2023-2024,15,Zipcode-Removal
Zip code,54913,FDEWVAR,X4T2,2023-2024,2,Zipcode-Removal
Zip code,54913,FDEWVAR,X5T3,2023-2024,1,Zipcode-Removal
Zip code,54913,FDEWVAR,X9T3,2023-2024,30,Zipcode-Removal
Zip code,54914,FDEWVAR,,2023-2024,310,Zipcode-Removal
Zip code,54914,FDEWVAR,A,2023-2024,7,Zipcode-Removal
Zip code,54914,FDEWVAR,B,2023-2024,70,Zipcode-Removal
Zip code,54914,FDEWVAR,ECO1,2023-2024,265,Zipcode-Removal
Zip code,54914,FDEWVAR,EL1,2023-2024,17,Zipcode-Removal
Zip code,54914,FDEWVAR,ENG3,2023-2024,290,Zipcode-Removal
Zip code,54914,FDEWVAR,FEM3,2023-2024,87,Zipcode-Removal
Zip code,54914,FDEWVAR,H,2023-2024,32,Zipcode-Removal
Zip code,54914,FDEWVAR,KIN2,2023-2024,18,Zipcode-Removal
Zip code,54914,FDEWVAR,MAL15,2023-2024,223,Zipcode-Removal
Zip code,54914,FDEWVAR,NOT3,2023-2024,45,Zipcode-Removal
Zip code,54914,FDEWVAR,NOT4,2023-2024,310,Zipcode-Removal
Zip code,54914,FDEWVAR,Q,2023-2024,62,Zipcode-Removal
Zip code,54914,FDEWVAR,SWD1,2023-2024,134,Zipcode-Removal
Zip code,54914,FDEWVAR,SWO1,2023-2024,176,Zipcode-Removal
Zip code,54914,FDEWVAR,UNK2,2023-2024,310,Zipcode-Removal
Zip code,54914,FDEWVAR,UNK4,2023-2024,3,Zipcode-Removal
Zip code,54914,FDEWVAR,UNK5,2023-2024,6,Zipcode-Removal
Zip code,54914,FDEWVAR,UNK8,2023-2024,2,Zipcode-Removal
Zip code,54914,FDEWVAR,W,2023-2024,133,Zipcode-Removal
Zip code,54914,FDEWVAR,X1012,2023-2024,37,Zipcode-Removal
Zip code,54914,FDEWVAR,X113,2023-2024,20,Zipcode-Removal
Zip code,54914,FDEWVAR,X1210,2023-2024,14,Zipcode-Removal
Zip code,54914,FDEWVAR,X1S2,2023-2024,15,Zipcode-Removal
Zip code,54914,FDEWVAR,X2N2,2023-2024,13,Zipcode-Removal
Zip code,54914,FDEWVAR,X3R2,2023-2024,6,Zipcode-Removal
Zip code,54914,FDEWVAR,X4T2,2023-2024,15,Zipcode-Removal
Zip code,54914,FDEWVAR,X5T3,2023-2024,19,Zipcode-Removal
Zip code,54914,FDEWVAR,X6T3,2023-2024,29,Zipcode-Removal
Zip code,54914,FDEWVAR,X7T2,2023-2024,30,Zipcode-Removal
Zip code,54914,FDEWVAR,X8T2,2023-2024,54,Zipcode-Removal
Zip code,54914,FDEWVAR,X9T3,2023-2024,38,Zipcode-Removal
Zip code,54915,FDEWVAR,,2023-2024,233,Zipcode-Removal
Zip code,54915,FDEWVAR,A,2023-2024,7,Zipcode-Removal
Zip code,54915,FDEWVAR,B,2023-2024,24,Zipcode-Removal
Zip code,54915,FDEWVAR,ECO1,2023-2024,180,Zipcode-Removal
Zip code,54915,FDEWVAR,EL1,2023-2024,25,Zipcode-Removal
Zip code,54915,FDEWVAR,ENG3,2023-2024,204,Zipcode-Removal
Zip code,54915,FDEWVAR,FEM3,2023-2024,75,Zipcode-Removal
Zip code,54915,FDEWVAR,H,2023-2024,44,Zipcode-Removal
Zip code,54915,FDEWVAR,KIN2,2023-2024,6,Zipcode-Removal
Zip code,54915,FDEWVAR,MAL15,2023-2024,158,Zipcode-Removal
Zip code,54915,FDEWVAR,NOT3,2023-2024,53,Zipcode-Removal
Zip code,54915,FDEWVAR,NOT4,2023-2024,233,Zipcode-Removal
Zip code,54915,FDEWVAR,Q,2023-2024,46,Zipcode-Removal
Zip code,54915,FDEWVAR,SWD1,2023-2024,128,Zipcode-Removal
Zip code,54915,FDEWVAR,SWO1,2023-2024,105,Zipcode-Removal
Zip code,54915,FDEWVAR,UNK2,2023-2024,233,Zipcode-Removal
Zip code,54915,FDEWVAR,UNK4,2023-2024,4,Zipcode-Removal
Zip code,54915,FDEWVAR,UNK5,2023-2024,18,Zipcode-Removal
Zip code,54915,FDEWVAR,W,2023-2024,94,Zipcode-Removal
Zip code,54915,FDEWVAR,X1012,2023-2024,23,Zipcode-Removal
Zip code,54915,FDEWVAR,X113,2023-2024,26,Zipcode-Removal
Zip code,54915,FDEWVAR,X1210,2023-2024,17,Zipcode-Removal
Zip code,54915,FDEWVAR,X1S2,2023-2024,10,Zipcode-Removal
Zip code,54915,FDEWVAR,X2N2,2023-2024,1,Zipcode-Removal
Zip code,54915,FDEWVAR,X3R2,2023-2024,6,Zipcode-Removal
Zip code,54915,FDEWVAR,X4T2,2023-2024,4,Zipcode-Removal
Zip code,54915,FDEWVAR,X5T3,2023-2024,8,Zipcode-Removal
Zip code,54915,FDEWVAR,X6T3,2023-2024,22,Zipcode-Removal
